command,intent,rooms,actions
"Sutney kotha ko batti balne garne, please.",single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'turn_on'}]"
Change the kitchen lights to red.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'red'}]"
Adjust the lights to full brightness in the study room.,single_room_control,['study room'],"[{'room': 'study room', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Please make the lights brighter in the study room.,single_room_control,['study room'],"[{'room': 'study room', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Can you please dim the bhanxa kotha ko light?,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Change the light color to yellow in the sutney kotha.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'yellow'}]"
Bhaancha ko batti medium brightness ma dim garidinus.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.5}]"
Please adjust the brightness to low in the store room.,single_room_control,['store'],"[{'room': 'store', 'action': 'adjust_brightness', 'brightness': 0.2}]"
Sutney kotha ko batti ko rang purple ma set garna paryo.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'purple'}]"
Turn off the lights in the baato.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_off'}]"
Adjust the balcony lights to 40%.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Please dim the bedroom lights.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Change the light color to green in the bedroom.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'change_color', 'color': 'green'}]"
Switch on the puja kotha lights.,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'turn_on'}]"
Chat ko batti dim garidinuhos.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.4}]"
Please turn off the lights in the baithak.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'turn_off'}]"
Bhaanchaa ko light on gara.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'turn_on'}]"
Baato ko batti balayera rakhnus.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_on'}]"
Could you please turn off the bathroom lights?,single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'turn_off'}]"
Baranda ko batti hariyo ma set garidinuhos.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'change_color', 'color': 'green'}]"
Switch on the lights in the chat.,single_room_control,['terrace'],"[{'room': 'terrace', 'action': 'turn_on'}]"
Set the baranda lights to 75% brightness.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'adjust_brightness', 'brightness': 0.75}]"
Turn on the lights in the store room.,single_room_control,['store'],"[{'room': 'store', 'action': 'turn_on'}]"
Change the baithak kotha lights to orange.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'change_color', 'color': 'orange'}]"
baithak ko light yellow ma change garna milcha?,single_room_control,['living room'],"[{'room': 'living room', 'action': 'change_color', 'color': 'yellow'}]"
Please turn on the corridor lights.,single_room_control,['corridor'],"[{'room': 'corridor', 'action': 'turn_on'}]"
Baithak kotha ko batti off garidinu na.,single_room_control,['living room'],"[{'room': 'living room', 'action': 'turn_off'}]"
"Turn on the bathroom lights, please.",single_room_control,['bathroom'],"[{'room': 'bathroom', 'action': 'turn_on'}]"
Please set the light color to red in bhaancha.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'change_color', 'color': 'red'}]"
Bhaanchaa ko light ko ujyalo kam gareko thik cha.,single_room_control,['kitchen'],"[{'room': 'kitchen', 'action': 'adjust_brightness', 'brightness': 0.3}]"
Switch on the bardali lights.,single_room_control,['balcony'],"[{'room': 'balcony', 'action': 'turn_on'}]"
Mandir ko light color green gareko ho?,single_room_control,['prayer room'],"[{'room': 'prayer room', 'action': 'change_color', 'color': 'green'}]"
Make the lights bright in the sutney kotha.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'adjust_brightness', 'brightness': 1.0}]"
Sutney kotha ko lights turn off gardinus.,single_room_control,['bedroom'],"[{'room': 'bedroom', 'action': 'turn_off'}]"
